control_zone_id,month_id,balancing_services,network_security_of_the_tsos,countertrading
1,1,0.0,42382195.61,0.0
1,2,0.0,18336250.93,16926.27
1,3,0.0,50146701.42,100698.7
1,4,0.0,14954753.16,121698.5
1,5,0.0,6254026.07,325393.53
1,6,0.0,3301152.0,112925.84
1,7,0.0,25465244.17,0.0
1,8,0.0,16575332.57,0.0
1,9,0.0,36059650.48,1306693.01
1,10,0.0,11440064.8,0.0
1,11,0.0,57253315.36,563828.33
1,12,0.0,65961268.81,3781442.62
1,13,0.0,28634281.62,1891453.49
1,14,0.0,32341342.11,1169811.31
1,15,0.0,8194352.69,348156.55
1,16,0.0,14465106.29,358235.16
1,17,0.0,9229486.02,353235.94
1,18,0.0,1381945.76,169.6
1,19,0.0,6404825.87,54968.82
1,20,0.0,2327636.39,59591.52
1,21,0.0,8536485.67,196132.66
1,22,0.0,10660474.81,429724.81
1,23,0.0,20024184.04,326420.61
1,24,0.0,34637029.99,2430770.25
1,25,0.0,38883744.14,972785.86
1,26,0.0,27551368.35,4550859.65
1,27,0.0,21488296.91,89495.09
1,28,0.0,16915064.0,0.0
1,29,0.0,4776269.51,65519.49
1,30,0.0,9342984.0,0.0
1,31,0.0,10691015.0,0.0
1,32,0.0,6929530.08,268889.92
1,33,0.0,10582342.2,116088.8
1,34,0.0,23741670.0,0.0
1,35,0.0,14880289.0,0.0
1,36,0.0,15977903.0,0.0
1,37,0.0,17982604.87,0.0
1,38,0.0,3298411.23,0.0
1,39,0.0,10141813.2,145250.36
1,40,0.0,10865935.08,0.0
1,41,0.0,3593041.48,37112.05
1,42,0.0,2454626.45,45020.88
1,43,0.0,993060.77,0.0
1,44,0.0,6585167.56,32134.25
1,45,0.0,8335953.01,0.0
1,46,0.0,22270452.13,151548.45
1,47,0.0,3148898.24,0.0
1,48,0.0,14111738.57,0.0
1,49,0.0,13162956.82,22946.42
1,50,0.0,8222183.41,101141.1
1,51,0.0,21891421.91,68860.0
1,52,0.0,8228412.32,481695.03
1,53,0.0,2380533.22,88687.93
1,54,0.0,2959770.18,0.0
1,55,0.0,5919230.6,321541.81
1,56,0.0,946865.19,75341.4
1,57,0.0,5038263.05,73952.2
1,58,0.0,4160850.98,0.0
1,59,0.0,2530516.29,0.0
1,60,0.0,7706919.91,0.0
1,61,3053820.67,16775520.17,0.0
1,62,4737954.2,18836601.6,0.0
1,63,4135921.37,5510833.25,46713.0
1,64,3695100.6,5523442.6,0.0
1,65,4932168.7,2582904.92,0.0
1,66,6314480.72,2552502.37,182729.3
1,67,3661904.26,2989346.23,0.0
1,68,3117723.81,3675804.15,18021.48
1,69,4321599.66,1454035.8,0.0
1,70,6761438.95,7604775.05,0.0
1,71,5755957.33,7808282.21,43444.56
1,72,5786056.17,4913695.28,700975.52
1,73,3996115.77,4285904.52,52945.84
1,74,6781917.73,901715.85,75338.5
1,75,5614006.15,2677284.63,84392.6
1,76,11565177.14,5633469.08,216384.56
1,77,21736257.7,5423454.49,135141.55
1,78,12446868.17,1909152.93,523289.09
1,79,6708181.39,2193321.33,0.0
1,80,5018768.5,4769709.8,35103.27
1,81,6354169.64,6429847.09,879461.71
1,82,31143128.14,9876897.3,371157.71
1,83,17078024.69,28423562.7,1566759.02
