Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;898,545.50;105,175.25;22,958.50;3,772,374.75;127,368.75;50,329.25;5,332,528.50;781,906.00;469,100.75;330,208.75;438,700.50
Feb 1, 2015;Mar 1, 2015;787,791.75;92,597.25;16,950.50;1,963,144.50;364,299.50;38,400.50;4,960,660.50;1,198,677.00;442,670.75;296,708.25;422,461.50
Mar 1, 2015;Apr 1, 2015;845,581.75;100,359.75;20,414.25;2,660,579.25;607,004.50;31,139.75;5,541,089.25;1,204,378.25;398,073.25;362,699.75;379,006.00
Apr 1, 2015;May 1, 2015;801,812.75;93,864.75;16,524.25;2,063,329.50;982,141.25;21,314.25;4,660,307.25;1,145,510.00;230,788.00;344,234.50;341,545.00
May 1, 2015;Jun 1, 2015;834,140.00;97,652.75;30,687.00;1,694,425.00;1,105,673.50;2,878.75;4,472,579.25;947,401.50;295,857.75;364,355.00;288,822.50
Jun 1, 2015;Jul 1, 2015;767,520.25;89,863.75;48,541.50;1,357,871.25;1,065,135.75;10,136.50;4,831,070.00;1,076,854.50;209,379.50;357,499.00;306,135.25
Jul 1, 2015;Aug 1, 2015;772,392.25;90,507.00;67,288.00;2,052,028.50;1,152,517.00;13,564.50;5,184,387.00;1,215,606.75;185,280.25;316,768.50;316,391.50
Aug 1, 2015;Sep 1, 2015;771,983.00;90,474.25;71,850.50;1,268,363.00;1,098,295.00;10,693.50;5,664,239.50;871,524.00;218,077.25;325,127.50;310,561.75
Sep 1, 2015;Oct 1, 2015;802,207.25;94,263.25;88,497.50;1,795,927.00;765,675.50;16,147.75;5,479,387.25;905,493.50;148,309.75;319,411.00;365,531.50
Oct 1, 2015;Nov 1, 2015;876,646.25;102,674.75;97,969.00;1,204,603.00;470,312.00;26,725.75;5,970,335.25;1,091,978.25;293,717.25;362,748.50;403,896.50
Nov 1, 2015;Dec 1, 2015;843,837.75;98,846.25;137,591.00;3,454,339.75;231,217.50;30,368.25;4,863,518.75;747,434.00;316,997.25;345,728.50;403,629.50
Dec 1, 2015;Jan 1, 2016;920,257.50;107,724.75;188,114.25;4,050,283.50;171,074.25;36,559.00;4,592,113.00;722,087.25;363,305.00;362,258.25;423,158.00
