Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;167,400.00;-;1,653,590.00;146,265.00;25,296.00;2,387,303.75;6,264,273.75;1,934,178.50;208,262.25;63,413.50;4,768,551.50
Feb 1, 2015;Mar 1, 2015;157,920.00;-;879,309.25;333,325.00;24,192.00;2,163,436.50;6,064,791.75;2,348,098.00;424,493.75;48,652.25;5,196,845.50
Mar 1, 2015;Apr 1, 2015;166,504.00;-;1,064,906.75;718,643.00;18,575.00;2,094,742.00;6,399,429.00;2,095,269.00;288,300.00;72,660.00;4,877,736.50
Apr 1, 2015;May 1, 2015;208,080.00;-;757,923.75;1,130,887.25;51,840.00;1,817,239.25;5,310,776.75;1,585,011.25;177,172.75;64,889.75;3,930,318.50
May 1, 2015;Jun 1, 2015;209,808.00;-;824,740.25;1,101,100.50;52,824.00;1,430,647.00;4,341,703.50;1,402,282.25;210,968.75;59,862.50;3,334,018.75
Jun 1, 2015;Jul 1, 2015;189,360.00;-;662,079.75;1,127,004.50;48,240.00;2,216,095.00;4,952,842.00;1,682,316.25;202,855.25;52,039.50;3,821,325.00
Jul 1, 2015;Aug 1, 2015;187,488.00;-;894,446.25;1,149,344.00;35,712.00;1,960,347.75;5,661,769.75;1,883,548.75;413,832.25;48,043.25;3,795,643.00
Aug 1, 2015;Sep 1, 2015;188,232.00;-;617,383.00;1,050,656.25;34,968.00;2,638,286.75;5,809,931.00;2,742,842.25;253,924.25;55,630.25;2,755,308.75
Sep 1, 2015;Oct 1, 2015;186,480.00;-;925,082.50;748,745.25;27,360.00;2,783,362.50;6,546,098.50;3,338,777.00;329,331.50;32,528.50;3,817,294.00
Oct 1, 2015;Nov 1, 2015;172,840.00;-;498,458.25;441,951.25;16,390.00;2,933,885.25;6,649,778.75;3,861,034.00;914,241.50;47,971.25;3,990,968.00
Nov 1, 2015;Dec 1, 2015;162,000.00;-;1,799,405.75;257,674.25;13,680.00;2,780,709.50;6,011,845.75;3,090,661.75;682,392.25;58,413.00;3,493,834.00
Dec 1, 2015;Jan 1, 2016;516,672.00;-;1,669,331.75;206,551.75;37,680.00;2,874,893.25;6,029,522.75;2,420,013.25;627,152.50;57,982.75;3,072,386.75
