Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;1,588,453.25;607,292.25;239,013.75;3,549,503.00;195,710.25;16,370.25;3,835,355.75;203,391.50;2,227,310.00;720,189.50;195,076.50;214,481.00
Feb 1, 2015;Mar 1, 2015;1,429,127.00;446,334.75;265,809.50;1,970,256.50;490,982.50;15,362.00;3,530,677.00;224,334.75;2,852,428.25;736,514.00;148,598.75;192,246.75
Mar 1, 2015;Apr 1, 2015;1,570,773.75;511,262.75;411,666.50;2,675,099.25;1,056,345.00;15,349.75;3,224,804.25;236,666.75;2,717,407.25;634,000.25;182,297.25;221,720.50
Apr 1, 2015;May 1, 2015;1,489,358.75;675,255.00;361,993.25;1,741,398.75;1,628,604.00;16,075.00;3,118,287.50;229,727.75;2,402,744.25;431,951.00;165,833.25;256,498.50
May 1, 2015;Jun 1, 2015;1,522,174.50;945,738.25;534,467.25;2,135,711.25;1,543,607.50;18,645.50;3,548,719.25;121,567.75;1,651,138.25;359,295.00;151,193.50;266,533.50
Jun 1, 2015;Jul 1, 2015;1,425,899.75;928,268.75;433,021.25;1,551,816.00;1,652,676.00;14,664.25;2,567,502.00;0.00;2,318,374.25;372,869.75;125,254.00;244,541.50
Jul 1, 2015;Aug 1, 2015;1,464,538.00;855,532.00;640,624.00;2,142,647.25;1,812,439.25;15,722.00;1,932,250.50;182,608.25;2,139,199.00;497,731.75;162,104.25;215,318.50
Aug 1, 2015;Sep 1, 2015;1,440,072.00;748,470.50;499,112.75;1,349,138.50;1,761,849.00;13,061.50;2,482,565.00;216,063.50;2,260,346.75;374,543.75;168,417.25;223,451.25
Sep 1, 2015;Oct 1, 2015;1,427,537.75;635,694.50;679,907.00;1,972,241.00;1,224,020.00;14,652.50;2,840,993.00;219,657.75;2,446,828.50;400,341.25;150,123.00;253,072.75
Oct 1, 2015;Nov 1, 2015;1,522,284.25;590,406.00;790,248.75;1,341,204.25;747,541.75;17,803.75;2,423,958.25;238,672.25;3,249,592.25;507,474.75;174,985.75;271,510.25
Nov 1, 2015;Dec 1, 2015;1,508,307.25;436,703.00;1,156,005.50;3,860,818.25;443,433.25;18,069.75;2,778,540.00;194,122.75;2,512,533.25;873,731.75;180,525.75;258,588.50
Dec 1, 2015;Jan 1, 2016;1,611,168.50;410,927.25;1,315,146.75;4,252,323.75;298,741.75;20,058.25;2,860,695.00;136,562.75;2,236,238.75;812,763.50;176,557.75;236,118.75
Jan 1, 2016;Feb 1, 2016;1,551,840.50;411,359.50;1,249,127.75;3,395,753.25;218,345.75;19,823.50;2,985,425.75;208,346.50;2,555,345.00;997,588.50;178,472.50;220,222.00
Feb 1, 2016;Mar 1, 2016;1,480,318.50;556,505.25;1,027,538.00;3,482,864.00;434,492.00;18,092.75;2,787,451.75;162,054.75;2,168,059.75;706,744.00;165,052.25;225,307.00
