Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;351,912.00;396,524.50;105,842.25;90,333.00;5,952.00;1,979,112.25;1,444,311.50;8,150.00;273,769.25;101,427.75
Feb 1, 2015;Mar 1, 2015;326,612.25;284,250.75;53,039.00;182,394.00;5,959.75;1,804,701.50;1,487,734.50;11,674.75;262,060.75;93,708.50
Mar 1, 2015;Apr 1, 2015;362,584.00;364,973.50;91,317.50;476,589.00;6,687.00;1,989,103.75;1,303,024.25;39,554.50;283,065.00;106,833.00
Apr 1, 2015;May 1, 2015;356,158.75;415,793.75;61,766.00;693,764.75;6,480.00;1,922,835.50;861,085.00;10,279.00;248,952.75;102,354.50
May 1, 2015;Jun 1, 2015;378,696.00;426,559.00;42,804.50;661,212.25;6,696.00;1,951,437.25;294,330.75;17.75;323,486.50;99,174.50
Jun 1, 2015;Jul 1, 2015;367,369.00;442,021.25;41,800.25;708,009.25;6,480.00;1,471,701.00;688,742.75;0.00;342,114.25;95,959.50
Jul 1, 2015;Aug 1, 2015;382,416.00;403,586.00;66,176.75;803,200.75;6,696.00;1,194,942.50;986,269.25;38,890.50;331,141.75;100,939.00
Aug 1, 2015;Sep 1, 2015;382,416.00;323,167.00;52,172.25;701,771.00;6,696.00;1,946,632.25;534,234.75;7,775.25;253,956.75;100,184.25
Sep 1, 2015;Oct 1, 2015;370,080.00;308,099.50;85,973.25;488,089.75;6,480.00;1,668,075.25;1,060,828.50;2,436.25;229,659.25;97,047.75
Oct 1, 2015;Nov 1, 2015;382,930.00;267,090.75;50,621.75;286,542.25;6,705.00;1,356,523.50;1,553,727.75;43,930.75;256,955.00;103,036.50
Nov 1, 2015;Dec 1, 2015;370,080.00;239,030.50;146,252.25;204,159.75;6,480.00;1,905,888.75;762,056.25;28,660.50;206,664.50;100,881.00
Dec 1, 2015;Jan 1, 2016;382,416.00;273,336.25;118,537.00;174,570.75;6,696.00;1,947,386.00;855,703.75;8,762.25;194,595.00;-
Jan 1, 2016;Feb 1, 2016;382,416.00;347,259.00;144,746.75;114,372.00;6,696.00;1,987,920.50;1,098,289.00;9,033.75;253,084.75;112,761.50
Feb 1, 2016;Mar 1, 2016;357,744.00;368,858.00;184,792.75;176,939.50;6,264.00;1,852,433.00;920,743.00;586.50;277,818.50;101,616.00
Mar 1, 2016;Apr 1, 2016;381,902.00;354,884.75;107,971.50;401,533.75;6,687.00;1,946,153.00;898,070.75;0.00;268,774.50;108,710.25
Apr 1, 2016;May 1, 2016;370,080.00;378,708.75;82,685.25;532,797.50;6,480.00;1,166,397.25;660,442.00;421.75;271,959.75;105,241.75
May 1, 2016;Jun 1, 2016;385,210.00;392,558.25;104,729.25;663,295.75;6,696.00;959,168.25;604,303.25;129.50;291,212.00;108,857.50
Jun 1, 2016;Jul 1, 2016;380,160.00;367,633.50;60,388.00;662,440.50;6,480.00;1,886,588.25;870,264.25;810.00;355,604.00;105,139.25
Jul 1, 2016;Aug 1, 2016;392,832.00;408,783.50;64,887.75;760,131.50;6,696.00;1,949,937.75;671,241.25;149.00;315,708.75;108,987.00
Aug 1, 2016;Sep 1, 2016;392,832.00;427,334.75;83,201.75;698,091.50;6,696.00;1,874,201.75;309,762.25;115.25;317,783.50;108,624.00
Sep 1, 2016;Oct 1, 2016;380,160.00;336,838.75;87,721.75;512,090.75;6,480.00;1,259,217.50;851,994.25;10,852.50;289,897.25;106,590.75
Oct 1, 2016;Nov 1, 2016;393,360.00;263,256.00;127,852.25;273,640.00;6,705.00;1,973,365.75;1,015,726.75;10,153.50;241,250.50;111,085.75
Nov 1, 2016;Dec 1, 2016;380,160.00;302,286.00;201,217.75;145,292.50;6,480.00;1,908,191.00;1,276,688.00;13,574.75;238,336.50;107,121.25
Dec 1, 2016;Jan 1, 2017;392,832.00;243,233.50;144,721.00;137,739.00;6,696.00;1,607,737.25;1,270,319.25;8,885.25;306,170.50;118,857.75
Jan 1, 2017;Feb 1, 2017;389,271.50;226,474.75;182,655.75;107,846.00;6,498.25;981,670.25;1,536,035.25;46,414.00;301,570.25;156,634.75
Feb 1, 2017;Mar 1, 2017;342,720.00;258,423.00;203,020.75;228,597.75;5,376.00;880,368.50;1,284,192.50;21,854.25;197,204.75;118,416.75
Mar 1, 2017;Apr 1, 2017;378,930.00;389,666.75;264,409.00;480,542.00;5,944.00;886,690.50;900,046.25;10,202.00;258,982.50;123,266.00
