control_zone,date,total_load
50Hertz,2015-01-01,9400512.455
50Hertz,2015-02-01,8819759.6
50Hertz,2015-03-01,8985095.4925
50Hertz,2015-04-01,8254912.41
50Hertz,2015-05-01,8039450.525
50Hertz,2015-06-01,8138445.3
50Hertz,2015-07-01,8305298.165
50Hertz,2015-08-01,8239680.6975
50Hertz,2015-09-01,8195418.3575
50Hertz,2015-10-01,8587755.5925
50Hertz,2015-11-01,8768782.885
50Hertz,2015-12-01,8625788.1025
50Hertz,2016-01-01,9417003.7975
50Hertz,2016-02-01,8706205.9175
50Hertz,2016-03-01,9021340.3675
50Hertz,2016-04-01,8350718.04
50Hertz,2016-05-01,8652063.7725
50Hertz,2016-06-01,8108013.835
50Hertz,2016-07-01,8284998.12
50Hertz,2016-08-01,8266517.4125
50Hertz,2016-09-01,8225752.4825
50Hertz,2016-10-01,8629995.8275
50Hertz,2016-11-01,9091994.2475
50Hertz,2016-12-01,9183494.0525
50Hertz,2017-01-01,9654899.235
50Hertz,2017-02-01,8595138.4775
50Hertz,2017-03-01,8997095.505
50Hertz,2017-04-01,8197911.525
50Hertz,2017-05-01,8370209.855
50Hertz,2017-06-01,7958975.715
50Hertz,2017-07-01,7970235.6625
50Hertz,2017-08-01,8217808.5625
50Hertz,2017-09-01,8238799.4825
50Hertz,2017-10-01,8650082.2375
50Hertz,2017-11-01,9005651.6925
50Hertz,2017-12-01,9115516.8075
50Hertz,2018-01-01,9866505.4575
50Hertz,2018-02-01,9002066.865
50Hertz,2018-03-01,9862855.45
50Hertz,2018-04-01,8485273.135
50Hertz,2018-05-01,8528980.9475
50Hertz,2018-06-01,8495299.7
50Hertz,2018-07-01,8517850.6475
50Hertz,2018-08-01,8702463.6975
50Hertz,2018-09-01,8538115.8625
50Hertz,2018-10-01,9052392.645
50Hertz,2018-11-01,9000974.79
50Hertz,2018-12-01,8911522.4675
50Hertz,2019-01-01,9278756.0675
50Hertz,2019-02-01,8189377.8
50Hertz,2019-03-01,8415228.8425
50Hertz,2019-04-01,7612532.45
50Hertz,2019-05-01,7859899.11
50Hertz,2019-06-01,7387555.71
50Hertz,2019-07-01,8331115.4125
50Hertz,2019-08-01,8264912.6725
50Hertz,2019-09-01,8463439.135
50Hertz,2019-10-01,8902953.8075
50Hertz,2019-11-01,9017408.07
50Hertz,2019-12-01,8890559.7875
50Hertz,2020-01-01,9495484.3175
50Hertz,2020-02-01,9229270.2325
50Hertz,2020-03-01,9099141.9775
50Hertz,2020-04-01,7798978.765
50Hertz,2020-05-01,7945619.2275
50Hertz,2020-06-01,7855671.7875
50Hertz,2020-07-01,8095715.7175
50Hertz,2020-08-01,8098882.845
50Hertz,2020-09-01,8227909.6175
50Hertz,2020-10-01,9063134.025
