DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalCost	RedispatchingCosts	CountertradingCosts	Currency	StatusCode	UpdateTime
2019-04-01 00:00:00.000	P1M	10YCS-SERBIATSOV	CTA	RS CTA	RS	0.00	0.00	0.00	EUR	A05	2019-12-27 09:46:09
2019-04-01 00:00:00.000	P1M	10YSE-1--------K	CTA	SE CTA	SE	17781.20	0.00	7162.28	EUR	A05	2019-05-09 03:46:04
2019-04-01 00:00:00.000	P1M	10YGB----------A	CTA	UK(National Grid) CTA	GB	9436.11	0.00	9436.11	GBP	A05	2019-05-01 18:16:06
2019-04-01 00:00:00.000	P1M	10YNO-0--------C	CTA	NO CTA	NO	2315810.13	0.00	2315810.13	EUR	A05	2019-05-06 04:16:45
2019-04-01 00:00:00.000	P1M	10YAT-APG------L	CTA	AT CTA	AT	12155696.14	12155696.14	0.00	EUR	A05	2020-02-06 17:16:18
2019-04-01 00:00:00.000	P1M	10Y1001A1001A796	CTA	DK CTA	DK	0.00	0.00	0.00	EUR	A05	2019-05-09 08:46:03
2019-04-01 00:00:00.000	P1M	10YPT-REN------W	CTA	PT CTA	PT	0.00	0.00	-44181.63	EUR	A05	2020-03-15 09:18:30
2019-04-01 00:00:00.000	P1M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	978719.21	978719.21	0.00	EUR	A05	2020-07-17 13:16:21
2019-04-01 00:00:00.000	P1M	10YHU-MAVIR----U	CTA	HU CTA	HU	0.00	0.00	0.00	HUF	A05	2019-05-20 09:15:59
2019-04-01 00:00:00.000	P1M	10YIT-GRTN-----B	CTA	IT CTA	IT	0.00	0.00	0.00	EUR	A05	2019-05-20 12:16:04
2019-04-01 00:00:00.000	P1M	10YES-REE------0	CTA	ES CTA	ES	531137.20	0.00	531137.20	EUR	A05	2019-06-04 15:16:05
2019-04-01 00:00:00.000	P1M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	2329290.22	2329290.22	0.00	EUR	A05	2020-12-01 12:45:51
2019-04-01 00:00:00.000	P1M	10YDE-VE-------2	CTA	DE(50Hertz) CTA	DE_50HzT	8710107.35	8228412.32	481695.03	EUR	A05	2022-01-31 19:16:34
2019-04-01 00:00:00.000	P1M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	40337145.00	29436365.00	10898171.00	EUR	A05	2021-01-20 11:45:47
2019-04-01 00:00:00.000	P1M	10YBE----------2	CTA	BE CTA	BE	449722.00	449722.00	0.00	EUR	A05	2019-05-31 00:16:05
2019-04-01 00:00:00.000	P1M	10YPL-AREA-----S	CTA	PL CTA	PL	120719.75	117012.70	3707.05	PLN	A05	2022-01-12 13:45:58
2019-04-01 00:00:00.000	P1M	10Y1001A1001A39I	CTA	EE CTA	EE	89950.50	0.00	89950.50	EUR	A05	2019-07-10 15:16:01
2019-04-01 00:00:00.000	P1M	10YFI-1--------U	CTA	FI CTA	FI	125126.00	0.00	125126.00	EUR	A05	2019-08-09 09:16:13
2019-04-01 00:00:00.000	P1M	10YLV-1001A00074	CTA	LV CTA	LV	13728.78	0.00	13728.78	EUR	A05	2019-09-04 14:16:14
2019-04-01 00:00:00.000	P1M	10YLT-1001A0008Q	CTA	LT CTA	LT	0.00	0.00	0.00	EUR	A05	2019-12-03 09:46:15
2019-04-01 00:00:00.000	P1M	10YFR-RTE------C	CTA	FR CTA	FR	430399.00	0.00	430399.00	EUR	A05	2020-03-16 17:16:17
