Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;-;42,382,195.61;0.00
Feb 1, 2015;Mar 1, 2015;-;18,336,250.93;16,926.27
Mar 1, 2015;Apr 1, 2015;-;50,146,701.42;100,698.70
Apr 1, 2015;May 1, 2015;-;14,954,753.16;121,698.50
May 1, 2015;Jun 1, 2015;-;6,254,026.07;325,393.53
Jun 1, 2015;Jul 1, 2015;-;3,301,152.00;112,925.84
Jul 1, 2015;Aug 1, 2015;-;25,465,244.17;0.00
Aug 1, 2015;Sep 1, 2015;-;16,575,332.57;0.00
Sep 1, 2015;Oct 1, 2015;-;36,059,650.48;1,306,693.01
Oct 1, 2015;Nov 1, 2015;-;11,440,064.80;0.00
Nov 1, 2015;Dec 1, 2015;-;57,253,315.36;563,828.33
Dec 1, 2015;Jan 1, 2016;-;65,961,268.81;3,781,442.62
Jan 1, 2016;Feb 1, 2016;-;28,634,281.62;1,891,453.49
Feb 1, 2016;Mar 1, 2016;-;32,341,342.11;1,169,811.31
Mar 1, 2016;Apr 1, 2016;-;8,194,352.69;348,156.55
Apr 1, 2016;May 1, 2016;-;14,465,106.29;358,235.16
May 1, 2016;Jun 1, 2016;-;9,229,486.02;353,235.94
Jun 1, 2016;Jul 1, 2016;-;1,381,945.76;169.60
Jul 1, 2016;Aug 1, 2016;-;6,404,825.87;54,968.82
Aug 1, 2016;Sep 1, 2016;-;2,327,636.39;59,591.52
Sep 1, 2016;Oct 1, 2016;-;8,536,485.67;196,132.66
Oct 1, 2016;Nov 1, 2016;-;10,660,474.81;429,724.81
Nov 1, 2016;Dec 1, 2016;-;20,024,184.04;326,420.61
Dec 1, 2016;Jan 1, 2017;-;34,637,029.99;2,430,770.25
Jan 1, 2017;Feb 1, 2017;-;38,883,744.14;972,785.86
Feb 1, 2017;Mar 1, 2017;-;27,551,368.35;4,550,859.65
Mar 1, 2017;Apr 1, 2017;-;21,488,296.91;89,495.09
Apr 1, 2017;May 1, 2017;-;16,915,064.00;0.00
May 1, 2017;Jun 1, 2017;-;4,776,269.51;65,519.49
Jun 1, 2017;Jul 1, 2017;-;9,342,984.00;0.00
Jul 1, 2017;Aug 1, 2017;-;10,691,015.00;0.00
Aug 1, 2017;Sep 1, 2017;-;6,929,530.08;268,889.92
Sep 1, 2017;Oct 1, 2017;-;10,582,342.20;116,088.80
Oct 1, 2017;Nov 1, 2017;-;23,741,670.00;0.00
Nov 1, 2017;Dec 1, 2017;-;14,880,289.00;0.00
Dec 1, 2017;Jan 1, 2018;-;15,977,903.00;0.00
Jan 1, 2018;Feb 1, 2018;-;17,982,604.87;0.00
Feb 1, 2018;Mar 1, 2018;-;3,298,411.23;0.00
Mar 1, 2018;Apr 1, 2018;-;10,141,813.20;145,250.36
Apr 1, 2018;May 1, 2018;-;10,865,935.08;0.00
May 1, 2018;Jun 1, 2018;-;3,593,041.48;37,112.05
Jun 1, 2018;Jul 1, 2018;-;2,454,626.45;45,020.88
Jul 1, 2018;Aug 1, 2018;-;993,060.77;0.00
Aug 1, 2018;Sep 1, 2018;-;6,585,167.56;32,134.25
Sep 1, 2018;Oct 1, 2018;-;8,335,953.01;0.00
Oct 1, 2018;Nov 1, 2018;-;22,270,452.13;151,548.45
Nov 1, 2018;Dec 1, 2018;-;3,148,898.24;0.00
Dec 1, 2018;Jan 1, 2019;-;14,111,738.57;0.00
Jan 1, 2019;Feb 1, 2019;-;13,162,956.82;22,946.42
Feb 1, 2019;Mar 1, 2019;-;8,222,183.41;101,141.10
Mar 1, 2019;Apr 1, 2019;-;21,891,421.91;68,860.00
Apr 1, 2019;May 1, 2019;-;8,228,412.32;481,695.03
May 1, 2019;Jun 1, 2019;-;2,380,533.22;88,687.93
Jun 1, 2019;Jul 1, 2019;-;2,959,770.18;0.00
Jul 1, 2019;Aug 1, 2019;-;5,919,230.60;321,541.81
Aug 1, 2019;Sep 1, 2019;-;946,865.19;75,341.40
Sep 1, 2019;Oct 1, 2019;-;5,038,263.05;73,952.20
Oct 1, 2019;Nov 1, 2019;-;4,160,850.98;0.00
Nov 1, 2019;Dec 1, 2019;-;2,530,516.29;0.00
Dec 1, 2019;Jan 1, 2020;-;7,706,919.91;0.00
Jan 1, 2020;Feb 1, 2020;3,053,820.67;16,775,520.17;0.00
Feb 1, 2020;Mar 1, 2020;4,737,954.20;18,836,601.60;0.00
Mar 1, 2020;Apr 1, 2020;4,135,921.37;5,510,833.25;46,713.00
Apr 1, 2020;May 1, 2020;3,695,100.60;5,523,442.60;0.00
May 1, 2020;Jun 1, 2020;4,932,168.70;2,582,904.92;0.00
Jun 1, 2020;Jul 1, 2020;6,314,480.72;2,552,502.37;182,729.30
Jul 1, 2020;Aug 1, 2020;3,661,904.26;2,989,346.23;0.00
Aug 1, 2020;Sep 1, 2020;3,117,723.81;3,675,804.15;18,021.48
Sep 1, 2020;Oct 1, 2020;4,321,599.66;1,454,035.80;0.00
