Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;-;0.00;0.00
Feb 1, 2015;Mar 1, 2015;-;0.00;0.00
Mar 1, 2015;Apr 1, 2015;-;0.00;0.00
Apr 1, 2015;May 1, 2015;-;9,268.64;0.00
May 1, 2015;Jun 1, 2015;-;270,434.00;0.00
Jun 1, 2015;Jul 1, 2015;-;163,041.76;0.00
Jul 1, 2015;Aug 1, 2015;-;762.96;0.00
Aug 1, 2015;Sep 1, 2015;-;0.00;0.00
Sep 1, 2015;Oct 1, 2015;-;166,831.35;0.00
Oct 1, 2015;Nov 1, 2015;-;345,039.41;0.00
Nov 1, 2015;Dec 1, 2015;-;148,494.12;0.00
Dec 1, 2015;Jan 1, 2016;-;340,797.00;0.00
Jan 1, 2016;Feb 1, 2016;-;912,758.44;0.00
Feb 1, 2016;Mar 1, 2016;-;854,170.03;0.00
Mar 1, 2016;Apr 1, 2016;-;574,196.09;0.00
Apr 1, 2016;May 1, 2016;-;63,220.46;0.00
May 1, 2016;Jun 1, 2016;-;88,212.68;0.00
Jun 1, 2016;Jul 1, 2016;-;0.00;0.00
Jul 1, 2016;Aug 1, 2016;-;0.00;0.00
Aug 1, 2016;Sep 1, 2016;-;675,352.72;0.00
Sep 1, 2016;Oct 1, 2016;-;465,477.11;0.00
Oct 1, 2016;Nov 1, 2016;-;171,008.78;0.00
Nov 1, 2016;Dec 1, 2016;-;719,065.24;0.00
Dec 1, 2016;Jan 1, 2017;-;8,887,196.43;0.00
Jan 1, 2017;Feb 1, 2017;-;31,057,611.05;0.00
Feb 1, 2017;Mar 1, 2017;-;18,957,814.89;0.00
Mar 1, 2017;Apr 1, 2017;-;6,024,332.68;0.00
Apr 1, 2017;May 1, 2017;-;2,751,366.11;0.00
May 1, 2017;Jun 1, 2017;-;2,105,642.90;0.00
Jun 1, 2017;Jul 1, 2017;-;1,846,900.48;0.00
Jul 1, 2017;Aug 1, 2017;-;2,302,630.77;0.00
Aug 1, 2017;Sep 1, 2017;-;758,110.65;0.00
Sep 1, 2017;Oct 1, 2017;-;3,077,493.06;0.00
Oct 1, 2017;Nov 1, 2017;-;15,729,193.54;0.00
Nov 1, 2017;Dec 1, 2017;-;15,133,282.42;0.00
Dec 1, 2017;Jan 1, 2018;-;16,475,596.86;0.00
Jan 1, 2018;Feb 1, 2018;-;13,850,827.48;0.00
Feb 1, 2018;Mar 1, 2018;-;6,623,460.21;0.00
Mar 1, 2018;Apr 1, 2018;-;15,765,968.51;0.00
Apr 1, 2018;May 1, 2018;-;5,181,838.56;0.00
May 1, 2018;Jun 1, 2018;-;2,195,408.81;0.00
