Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;-;49,714,455.33;349,180.94
Feb 1, 2015;Mar 1, 2015;-;35,527,350.20;288,106.91
Mar 1, 2015;Apr 1, 2015;-;57,786,901.65;455,871.70
Apr 1, 2015;May 1, 2015;-;32,118,482.25;346,064.69
May 1, 2015;Jun 1, 2015;-;39,222,675.59;451,742.47
Jun 1, 2015;Jul 1, 2015;-;20,133,062.76;404,196.70
Jul 1, 2015;Aug 1, 2015;-;47,465,791.98;1,721,399.45
Aug 1, 2015;Sep 1, 2015;-;17,399,470.24;1,473,818.70
Sep 1, 2015;Oct 1, 2015;-;27,029,649.48;1,302,269.86
Oct 1, 2015;Nov 1, 2015;-;19,254,385.09;3,800,588.95
Nov 1, 2015;Dec 1, 2015;-;90,165,302.43;1,826,014.06
Dec 1, 2015;Jan 1, 2016;-;121,417,043.80;4,124,801.05
Jan 1, 2016;Feb 1, 2016;-;83,742,489.00;1,906,187.00
Feb 1, 2016;Mar 1, 2016;-;67,405,992.00;1,256,661.00
Mar 1, 2016;Apr 1, 2016;-;36,981,643.00;385,054.00
Apr 1, 2016;May 1, 2016;-;33,278,524.00;482,815.00
May 1, 2016;Jun 1, 2016;-;16,436,441.00;433,161.00
Jun 1, 2016;Jul 1, 2016;-;6,019,769.00;-5,124.00
Jul 1, 2016;Aug 1, 2016;-;23,712,789.00;54,969.00
Aug 1, 2016;Sep 1, 2016;-;18,407,575.00;77,283.00
Sep 1, 2016;Oct 1, 2016;-;20,383,453.00;196,132.00
Oct 1, 2016;Nov 1, 2016;-;32,978,145.00;497,806.00
Nov 1, 2016;Dec 1, 2016;-;35,156,703.00;326,420.00
Dec 1, 2016;Jan 1, 2017;-;95,635,474.00;2,428,919.00
Jan 1, 2017;Feb 1, 2017;-;96,106,453.14;1,973,779.44
Feb 1, 2017;Mar 1, 2017;-;88,746,442.63;3,746,119.92
