Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;-;0.00;0.00
Feb 1, 2015;Mar 1, 2015;-;0.00;0.00
Mar 1, 2015;Apr 1, 2015;-;7,072,761.98;0.00
Apr 1, 2015;May 1, 2015;-;1,973,856.94;0.00
May 1, 2015;Jun 1, 2015;-;0.00;0.00
Jun 1, 2015;Jul 1, 2015;-;0.00;0.00
Jul 1, 2015;Aug 1, 2015;-;0.00;0.00
Aug 1, 2015;Sep 1, 2015;-;0.00;0.00
Sep 1, 2015;Oct 1, 2015;-;285,963.00;0.00
Oct 1, 2015;Nov 1, 2015;-;649,637.97;0.00
Nov 1, 2015;Dec 1, 2015;-;2,265,465.33;0.00
Dec 1, 2015;Jan 1, 2016;-;1,852,018.44;0.00
Jan 1, 2016;Feb 1, 2016;-;4,740,137.30;0.00
Feb 1, 2016;Mar 1, 2016;-;5,285,094.36;0.00
Mar 1, 2016;Apr 1, 2016;-;93,665.21;0.00
Apr 1, 2016;May 1, 2016;-;2,685,017.93;0.00
May 1, 2016;Jun 1, 2016;-;422,712.59;0.00
Jun 1, 2016;Jul 1, 2016;-;118,818.71;0.00
Jul 1, 2016;Aug 1, 2016;-;170,877.53;0.00
Aug 1, 2016;Sep 1, 2016;-;168,754.98;0.00
Sep 1, 2016;Oct 1, 2016;-;168,155.30;0.00
Oct 1, 2016;Nov 1, 2016;-;1,341,965.49;0.00
Nov 1, 2016;Dec 1, 2016;-;1,964,237.31;0.00
Dec 1, 2016;Jan 1, 2017;-;2,579,020.76;0.00
Jan 1, 2017;Feb 1, 2017;-;10,171,688.14;0.00
Feb 1, 2017;Mar 1, 2017;-;5,273,603.70;0.00
Mar 1, 2017;Apr 1, 2017;-;1,795,360.98;0.00
Apr 1, 2017;May 1, 2017;-;3,234,499.22;0.00
May 1, 2017;Jun 1, 2017;-;1,267,351.45;0.00
Jun 1, 2017;Jul 1, 2017;-;1,552,072.28;0.00
Jul 1, 2017;Aug 1, 2017;-;96,240.61;0.00
Aug 1, 2017;Sep 1, 2017;-;385,737.43;0.00
Sep 1, 2017;Oct 1, 2017;-;454,056.34;0.00
Oct 1, 2017;Nov 1, 2017;-;200,541.23;0.00
Nov 1, 2017;Dec 1, 2017;-;1,110,327.98;0.00
Dec 1, 2017;Jan 1, 2018;-;317,377.36;0.00
Jan 1, 2018;Feb 1, 2018;-;117,837.80;0.00
Feb 1, 2018;Mar 1, 2018;-;29,416.96;0.00
Mar 1, 2018;Apr 1, 2018;-;119,192.06;0.00
Apr 1, 2018;May 1, 2018;-;799,951.86;0.00
May 1, 2018;Jun 1, 2018;-;2,753,024.28;0.00
