"date","price"
"2015-01-05",35.86
"2015-01-06",33.88
"2015-01-07",38.72
"2015-01-08",28.48
"2015-01-09",24.25
"2015-01-10",12.86
"2015-01-11",1.1
"2015-01-12",22.56
"2015-01-13",24.81
"2015-01-14",27.21
"2015-01-15",25.37
"2015-01-16",33.08
"2015-01-17",31.5
"2015-01-18",26.99
"2015-01-19",42.58
"2015-01-20",47.04
"2015-01-21",44.99
"2015-01-22",43.82
"2015-01-23",42.37
"2015-01-24",29.78
"2015-01-25",28.28
"2015-01-26",37.5
"2015-01-27",32.94
"2015-01-28",28.18
"2015-01-29",26.24
"2015-01-30",38.24
"2015-01-31",29.81
"2015-02-01",29.23
"2015-02-02",42.38
"2015-02-03",45.53
"2015-02-04",48.28
"2015-02-05",44.04
"2015-02-06",39.3
"2015-02-07",26.91
"2015-02-08",12.44
"2015-02-09",27.55
"2015-02-10",44.18
"2015-02-11",48.32
"2015-02-12",48.38
"2015-02-13",38.7
"2015-02-14",32.67
"2015-02-15",29.43
"2015-02-16",35.53
"2015-02-17",42.94
"2015-02-18",43.2
"2015-02-19",38.14
"2015-02-20",30.78
"2015-02-21",30.34
"2015-02-22",33.52
"2015-02-23",31.68
"2015-02-24",34.64
"2015-02-25",44.28
"2015-02-26",37.3
"2015-02-27",38.86
"2015-02-28",29.51
"2015-03-01",10.75
"2015-03-02",26.74
"2015-03-03",27.21
"2015-03-04",26.14
"2015-03-05",36.37
"2015-03-06",39.94
"2015-03-07",28.68
"2015-03-08",22.48
"2015-03-09",38.93
"2015-03-10",37.9
"2015-03-11",34.85
"2015-03-12",39.46
"2015-03-13",36.67
"2015-03-14",31.95
"2015-03-15",27.55
"2015-03-16",30.84
"2015-03-17",31.93
"2015-03-18",36.43
"2015-03-19",37.23
"2015-03-20",35.3
"2015-03-21",30.97
"2015-03-22",25.98
"2015-03-23",41.2
"2015-03-24",48.28
"2015-03-25",39.54
"2015-03-26",40.73
"2015-03-27",33.69
"2015-03-28",27.06
"2015-03-29",11.84
"2015-03-30",16.05
"2015-03-31",17.85
"2015-04-01",19.1
"2015-04-02",32.25
"2015-04-03",23.71
"2015-04-04",27.98
"2015-04-05",25.4
"2015-04-06",25.84
"2015-04-07",36.37
"2015-04-08",41.98
"2015-04-09",42.37
"2015-04-10",35.53
"2015-04-11",23.55
